DNI,Id. Empleat,Tipus de sol�licitud,CP,Telefon,DataNaix,Sexe,Email per notificacions,CP per notificacions,%Minus,Adaptacio Centre base,Apte Segons centre base,exclos,Niv cat,Comprobar amb pol. lingüística,proba física superada,carnet conducir,examen1,examen2,examen3,examen4,examen5,Municipi
86208587X,2910861,PreZëncial,07500,+34 504814260,14/12/1998,F,tgnduvvqne@outlook.com,07222,0.0,False,True,False,B2,True,True,No,9.3,7.68,5.97,NP,8.69,Campos
76031416V,2275634,Certificat digital,07792,+34 062653911,11/05/1996,M,yrytqr@example.com,07494,0.0,False,True,False,B2,True,True,Sí,10.0,NP,7.13,0.0,5.67,Algaida
98236237V,4095784,PreZëncial,07404,+34 478499206,09/12/2000,M,harsyjam@yahoo.com,07740,0.0,False,True,False,B2,True,True,No,3.46,6.47,6.18,6.5,5.19,Sant Antoni de Portmany
22230224B,7834655,PreZëncial,07603,+34 624134599,08/10/1988,M,olczzp@outlook.com,07747,0.0,False,True,False,C2,True,True,Sí,3.67,7.63,8.46,4.08,NP,Son Servera
79349790C,1106869,PreZëncial,07915,+34 988408926,01/12/1987,M,rngczlz@outlook.com,07805,60.0,True,True,False,B2,True,True,Sí,2.39,8.57,NP,5.91,4.1,Capdepera
62347300G,8810623,PreZëncial,07991,+34 254932995,10/03/1984,F,hciab@outlook.com,07126,0.0,False,True,False,B2,True,True,Sí,9.47,7.28,10.0,7.22,2.18,Petra
00238559A,6228990,PreZëncial,07121,+34 412752292,27/05/1975,F,rfmtqjuitr@yahoo.com,07805,0.0,False,True,False,C2,False,True,Si,6.64,7.78,5.72,1.43,6.23,Alcúdia
98344318K,2074772,PreZëncial,07740,+34 250793111,24/02/1976,F,popnmkga@hotmail.com,07805,0.0,False,True,False,A2,True,True,Sí,1.99,,6.73,2.38,5.06,Ciutadella de Menorca
62873917J,1450410,PreZëncial,07595,+34 656787359,11/05/2000,F,pypcdvbyj@hotmail.com,07516,0.0,False,True,False,B2,True,True,Sí,8.92,6.89,8.74,5.04,1.07,Llucmajor
IS720529,7224219,PreZëncial,07612,+34 409763931,14/08/1986,F,ktcsalbwrp@yahoo.com,07792,0.0,False,True,False,B1,True,True,Sí,9.26,10.0,6.49,5.64,10.0,Alaior
94860057F,7102582,Certificat digital,07950,+34 253941357,13/10/1978,M,fisrexp@hotmail.com,07915,16.0,False,True,False,C2,True,True,Sí,NP,10.0,7.68,5.37,4.72,Búger
MX058156,1621434,PreZëncial,07603,+34 704418410,13/08/1981,M,movrrpdk@gmail.com,07360,0.0,False,True,False,C2,True,True,Si,10.0,6.44,6.23,10.0,0.0,Son Servera
04873826B,5088528,Certificat digital,07494,+34 305453854,17/10/1995,F,mjdfyr@hotmail.com,07360,0.0,False,True,False,B2,True,True,Si,8.93,10.0,NP,0.9,0.0,Sant Llorenç des Cardassar
53147243Q,8935376,PreZëncial,07516,+34 545933613,29/01/1982,M,nmlwp@hotmail.com,07803,0.0,False,True,False,B2,True,True,Sí,7.71,6.35,8.11,2.98,NP,Santanyí
71508873X,1655366,PreZëncial,07121,+34 725585297,08/02/1994,M,jmdgjxhpic@yahoo.com,07494,0.0,False,True,False,B2,True,False,Sí,6.37,9.61,6.5,3.82,3.88,Alcúdia
86435190V,101223,PreZëncial,07803,+34 047489944,26/02/1979,M,whhjygezr@example.com,07404,0.0,False,True,False,B1,True,True,Sí,10.0,10.0,7.7,10.0,3.03,Felanitx
33498231L,5946560,PreZëncial,07740,+34 552114415,09/11/1975,F,skqzi@outlook.com,07805,0.0,False,True,False,C2,True,True,No,10.0,9.98,5.62,10.0,6.15,Ciutadella de Menorca
03552089S,5557111,PreZëncial,07657,+34 453289366,11/12/1978,F,jeffsfx@hotmail.com,07740,0.0,False,True,False,B1,True,False,Sí,0.0,6.63,7.06,6.64,NP,Ses Salines
14935001C,2403571,PreZëncial,07603,+34 977010503,14/11/2003,M,hljil@yahoo.com,07544,0.0,False,True,False,B2,True,True,Si,10.0,6.49,6.63,NP,10.0,Son Servera
75732995K,2053326,PreZëncial,07737,+34 606521504,03/02/1974,M,jhzdq@example.com,07612,0.0,False,True,False,B2,True,True,Si,NP,8.39,7.55,0.0,0.0,Mahón (Maó)
GI801418,6063574,PreZëncial,07603,+34 076840917,08/05/1975,F,vcmnivx@example.com,07603,0.0,False,True,False,B1,True,True,No,0.0,NP,5.82,2.24,NP,Son Servera
SV443363,8269855,PreZëncial,07905,+34 289452635,22/07/1981,M,tczncvcpp@yahoo.com,07818,21.0,False,True,False,C1,False,True,Sí,7.51,,6.04,NP,9.75,Sant Joan de Labritja
92201348Y,124170,PreZëncial,07803,+34 494030317,24/04/1997,M,cofhe@gmail.com,07158,0.0,False,True,False,B1,True,True,Sí,7.78,9.82,4.44,1.36,1.45,Felanitx
37234449W,1990958,PreZëncial,07494,+34 656352579,02/05/1976,F,qkolnkh@hotmail.com,07516,13.0,False,True,False,B1,True,True,No,NP,9.86,NP,5.54,4.26,Sant Llorenç des Cardassar
40098623D,5877470,PreZëncial,07200,+34 682086490,23/02/1996,F,sffyonhl@gmail.com,07657,0.0,False,True,False,A2,True,True,Sí,4.62,6.46,5.14,5.51,4.62,Sant Josep de sa Talaia
24302965S,5949975,PreZëncial,07038,+34 342419707,11/07/2004,M,qepgnbevr@gmail.com,07991,0.0,False,True,False,C2,True,False,Sí,8.73,,7.53,3.26,10.0,Consell
QE151667,1978155,PreZëncial,07603,+34 176707626,22/01/1994,F,ehivkwdhuu@gmail.com,07158,0.0,False,True,False,A2,True,True,Sí,NP,8.17,7.62,1.56,5.63,Son Servera
73543778J,8172128,PreZëncial,07603,+34 944541503,14/07/2001,M,pyaqprfhnf@hotmail.com,07818,0.0,False,True,False,B2,True,True,Sí,0.0,7.28,6.61,9.97,5.06,Son Servera
68926347Q,1508531,Certificat digital,07431,+34 456098197,09/12/1981,M,mkkhscakw@example.com,07803,0.0,False,True,False,B2,True,True,Sí,5.39,4.84,6.06,4.76,7.21,Palma de Mallorca
ST936292,8521686,Certificat digital,07805,+34 774498316,02/06/2000,M,uaqvena@example.com,07737,0.0,False,True,False,A2,True,False,Sí,4.9,6.8,6.4,3.4,8.68,Ibiza
10854994Y,8526655,PreZëncial,07915,+34 366166098,20/09/2002,M,pynktv@hotmail.com,07805,0.0,False,True,False,B2,False,True,Sí,10.0,9.58,6.7,,NP,Capdepera
98028774Z,8590426,PreZëncial,07603,+34 385773054,15/03/1990,F,upima@gmail.com,07494,0.0,False,True,False,A2,True,True,Sí,0.0,8.09,6.55,8.72,5.57,Son Servera
28220714J,4199463,PreZëncial,07737,+34 560426103,14/06/1991,F,mubbadpexw@gmail.com,07805,0.0,False,True,False,B1,True,True,No,0.76,6.84,6.4,2.08,NP,Mahón (Maó)
UU231656,5652331,PreZëncial,07516,+34 424899242,11/02/1989,F,ohictygs@gmail.com,07737,15.0,False,True,False,B2,True,True,Sí,10.0,8.51,6.24,0.14,2.34,Santanyí
78188407E,5706614,PreZëncial,07603,+34 651194564,14/06/1996,F,fgezonpf@example.com,07494,0.0,False,True,False,B2,True,True,Sí,3.31,NP,6.73,,10.0,Son Servera
57194857K,6255828,Correu electrònic,07991,+34 727327812,19/09/2000,F,kollzte@yahoo.com,07805,0.0,False,True,False,B1,True,True,Sí,4.84,5.27,5.78,3.73,5.13,Petra
60278343N,101818,PreZëncial,07805,+34 441068812,04/06/1978,F,zetnj@outlook.com,07740,0.0,False,True,False,B1,True,True,Sí,1.12,9.76,6.39,NP,5.63,Ibiza
33440301A,543505,PreZëncial,07905,+34 030949995,12/08/2002,F,qlbonkbvc@gmail.com,07805,0.0,False,True,False,B2,True,True,Sí,8.89,NP,6.44,7.33,9.14,Sant Joan de Labritja
GO930824,3132370,PreZëncial,07404,+34 873665646,23/12/1994,M,ocuizgvzon@outlook.com,07747,0.0,False,True,False,C2,True,False,Sí,8.7,NP,6.57,9.37,7.57,Sant Antoni de Portmany
LT137155,7277127,Certificat digital,07595,+34 237612674,10/03/2002,F,lublbggi@hotmail.com,07603,0.0,False,True,False,B2,True,True,Sí,3.05,NP,9.06,0.92,4.08,Llucmajor
93891145Q,505429,PreZëncial,07950,+34 598261386,14/11/1973,F,dzsxyru@yahoo.com,07494,11.0,False,True,False,A2,True,True,Si,9.23,8.98,NP,NP,3.3,Búger
BS431451,1686163,PreZëncial,07603,+34 754795293,27/10/1992,F,vwhfub@hotmail.com,07737,0.0,False,True,False,C1,True,True,Sí,9.57,7.67,6.01,4.78,10.0,Son Servera
79359842K,5013238,PreZëncial,07200,+34 281172621,26/08/1975,M,owupvk@yahoo.com,07500,0.0,False,True,False,A2,True,True,No,10.0,8.71,NP,0.26,10.0,Sant Josep de sa Talaia
18737219Q,1597712,Certificat digital,07818,+34 112667056,10/03/1978,F,wddtcyyf@gmail.com,07126,0.0,False,True,False,C2,True,True,Sí,0.0,8.39,6.53,6.18,4.6,Sóller
91459659K,2583144,Correu electrònic,07595,+34 075128587,03/07/2004,F,kusdxsxt@hotmail.com,07431,0.0,False,True,False,B1,True,True,Sí,NP,8.53,6.82,3.17,8.89,Llucmajor
JX446301,2062731,PreZëncial,07657,+34 069541039,08/05/2000,F,zzmzvwa@outlook.com,07222,0.0,False,True,False,C1,True,True,Sí,2.0,6.44,7.58,NP,7.77,Ses Salines
48245375T,1249810,PreZëncial,07038,+34 604037980,31/12/2004,M,yoriimrijh@gmail.com,07740,0.0,False,True,False,C1,True,True,No,9.5,,6.35,7.78,1.05,Consell
55027206M,7668235,Certificat digital,07404,+34 238807980,31/01/1976,M,llavmdnr@hotmail.com,07222,0.0,False,True,False,C1,True,False,Sí,2.94,7.93,6.63,,7.36,Sant Antoni de Portmany
NC427565,5144039,PreZëncial,07038,+34 618069707,24/11/1979,F,bvlcqgcdcq@example.com,07544,43.0,False,True,False,B2,True,False,No,NP,6.48,8.77,,7.48,Consell
22472705A,2112716,PreZëncial,07747,+34 568606492,28/08/1980,F,vlehrryfk@gmail.com,07803,0.0,False,True,False,A2,True,True,No,10.0,5.91,6.56,10.0,1.39,Inca
73362554Y,1032608,Certificat digital,07950,+34 883796433,16/03/2001,M,fgzhr@yahoo.com,07950,0.0,False,True,False,A2,True,True,Sí,10.0,4.75,,4.75,0.67,Búger
58868029N,6268660,PreZëncial,07737,+34 860252953,25/01/1985,M,azthskuq@yahoo.com,07595,0.0,False,True,False,A2,True,True,Sí,7.02,10.0,8.49,5.2,0.41,Mahón (Maó)
UY290460,4166706,PreZëncial,07516,+34 645484582,21/08/2003,F,yafetuycy@example.com,07222,0.0,False,True,False,B2,True,True,Sí,0.0,7.77,5.56,0.0,2.84,Santanyí
00791750K,708928,PreZëncial,07950,+34 521797532,08/02/1996,M,nafyijol@yahoo.com,07747,0.0,False,True,False,C2,True,True,Sí,10.0,2.81,6.8,5.2,5.68,Búger
25747395E,4440582,PreZëncial,07431,+34 361079137,18/09/1995,M,wwasyy@hotmail.com,07500,0.0,False,True,False,C1,True,True,No,0.15,6.47,NP,,5.65,Palma de Mallorca
EN049278,3045589,Certificat digital,07222,+34 985278523,30/08/1980,M,mvqloxdeid@yahoo.com,07603,0.0,False,True,False,A2,True,True,No,9.61,8.74,6.92,3.32,2.73,Pollença
RL568444,9175361,PreZëncial,07595,+34 933733619,11/06/1981,F,hdprhbsf@example.com,07950,0.0,False,True,False,C2,True,True,No,2.02,8.9,6.63,5.62,7.21,Llucmajor
34246384M,5155233,Correu electrònic,07431,+34 322982930,19/09/1988,F,yuoporbv@yahoo.com,07431,0.0,False,True,False,B2,True,True,No,6.66,8.62,8.85,5.19,NP,Palma de Mallorca
RC323027,2873155,PreZëncial,07612,+34 996160818,21/11/2003,F,ltckhkye@hotmail.com,07500,0.0,False,True,False,A2,True,True,Si,2.16,6.88,7.41,NP,4.2,Alaior
95165062D,136397,Certificat digital,07805,+34 225361181,30/08/1985,M,rkneq@yahoo.com,07950,28.0,False,True,False,C2,True,False,Si,NP,5.63,5.63,2.3,6.05,Ibiza
09103127A,1050705,PreZëncial,07360,+34 424545532,19/03/2001,M,zweqaxxh@gmail.com,07360,0.0,False,True,False,B1,True,True,Sí,9.26,10.0,7.41,7.47,10.0,Marratxí
68414934P,3288717,PreZëncial,07747,+34 978468896,27/04/1996,F,eezom@hotmail.com,07544,0.0,False,True,False,B1,True,True,Sí,2.31,6.79,NP,5.42,5.78,Inca
91336500G,1610318,PreZëncial,07905,+34 176004483,26/07/2000,F,irwmyb@yahoo.com,07404,0.0,False,True,False,B1,True,False,Sí,9.04,6.69,6.12,7.86,3.71,Sant Joan de Labritja
QE151667,7545795,PreZëncial,07404,+34 858836138,29/02/2004,M,xfoulwts@example.com,07950,0.0,False,True,False,C2,True,True,No,8.1,8.37,7.15,4.84,1.33,Sant Antoni de Portmany
18241540X,7791386,Certificat digital,07747,+34 430062465,16/01/1978,M,bnqbhr@yahoo.com,07126,0.0,False,True,False,C1,True,False,Sí,10.0,6.8,7.0,5.83,7.08,Inca
64497847M,3718192,PreZëncial,07158,+34 319500630,23/05/1992,M,ebokybysou@yahoo.com,07516,0.0,False,True,False,B2,True,True,Sí,6.64,10.0,8.35,8.6,3.55,Artà
70352502X,9291491,Correu electrònic,07595,+34 659510304,13/10/1976,M,zyjuaakipz@hotmail.com,07126,0.0,False,True,False,B1,True,True,Sí,NP,8.1,7.2,,NP,Llucmajor
41167026Q,1231487,PreZëncial,07950,+34 886398441,25/03/1992,M,tpmcmmoeqa@gmail.com,07544,46.0,False,True,False,B1,True,True,Sí,10.0,8.96,7.01,0.92,10.0,Búger
17850443M,5464574,PreZëncial,07494,+34 612396388,29/12/1994,M,bhtlxz@hotmail.com,07494,0.0,False,True,False,B2,True,False,No,9.78,7.83,7.47,5.21,4.67,Sant Llorenç des Cardassar
69632233D,3716019,PreZëncial,07595,+34 621768167,10/11/1982,M,xlxvwnhpp@hotmail.com,07200,0.0,False,True,False,A2,True,False,Sí,7.08,8.5,8.06,7.16,NP,Llucmajor
30125089B,1991247,PreZëncial,07950,+34 286262184,28/02/1994,M,enkdnxmy@hotmail.com,07792,0.0,False,True,False,B1,True,True,Sí,10.0,4.11,NP,7.93,6.76,Búger
66279356A,1790532,PreZëncial,07657,+34 263204739,04/03/1980,M,jrhjcdwhl@example.com,07200,0.0,False,True,False,B2,True,True,Sí,8.61,4.68,6.72,2.49,NP,Ses Salines
30734515Y,1180247,Correu electrònic,07657,+34 024784126,22/05/1998,M,uzbqvpyg@yahoo.com,07360,0.0,False,True,False,A2,True,False,Sí,NP,7.03,NP,4.98,NP,Ses Salines
12959325K,3496580,PreZëncial,07818,+34 768884800,09/09/1984,F,xbtta@outlook.com,07360,0.0,False,True,False,C2,True,True,No,10.0,9.0,5.29,10.0,1.73,Sóller
BC827544,5095020,PreZëncial,07747,+34 031164207,12/04/1985,M,znuhrmkfmf@yahoo.com,07404,0.0,False,True,False,A2,True,False,Sí,8.1,8.4,NP,9.75,2.77,Inca
26052819Y,5110192,PreZëncial,07222,+34 743030983,24/09/1980,F,ocguszfy@outlook.com,07805,0.0,False,True,False,B1,True,True,No,3.78,7.72,6.34,0.0,3.93,Pollença
70860573B,8963676,PreZëncial,07200,+34 455548357,16/10/1985,N,zrilodbp@example.com,07158,12.0,False,True,False,B2,True,True,Sí,10.0,NP,7.03,8.98,6.45,Sant Josep de sa Talaia
ZN474555,2520078,PreZëncial,07747,+34 091009475,18/04/1985,F,fkcjjdjosa@outlook.com,07915,0.0,False,True,False,B1,True,True,Sí,6.8,10.0,,5.02,2.55,Inca
BA709775,6559340,Certificat digital,07121,+34 044999662,19/11/1980,F,lvzeutln@hotmail.com,07657,0.0,False,True,False,A2,True,True,Sí,10.0,10.0,6.11,3.05,1.99,Alcúdia
92985946M,2953099,PreZëncial,07805,+34 270078340,14/10/1993,F,shdvsupcs@outlook.com,07360,0.0,False,True,False,A2,True,True,No,8.83,6.23,8.34,,6.44,Ibiza
88367405W,5135670,PreZëncial,07612,+34 808643827,17/02/1988,F,ymbjicek@yahoo.com,07126,0.0,False,True,False,B1,True,True,Sí,0.95,5.93,6.69,NP,9.41,Alaior
25173947X,2027272,PreZëncial,07544,+34 610271702,08/10/1975,M,epzotgl@example.com,07991,11.0,False,True,False,C2,True,True,Sí,5.76,7.74,7.26,7.75,10.0,Lloseta
82535438F,763122,PreZëncial,07603,+34 695845088,16/06/1979,F,dvzqg@gmail.com,07200,0.0,False,True,False,A2,True,True,Sí,10.0,6.35,8.56,,4.38,Son Servera
40725136W,7021763,PreZëncial,07038,+34 575636546,28/11/1997,F,xtkrvowz@example.com,07494,0.0,False,True,False,B2,True,True,Sí,10.0,8.87,6.02,NP,3.55,Consell
BX943882,726232,PreZëncial,07805,+34 409595485,16/11/1992,F,iuxdcsgne@example.com,07121,15.0,False,True,False,C2,True,True,Sí,10.0,7.75,7.92,8.83,7.79,Ibiza
PX700723,1333699,PreZëncial,07121,+34 676437863,15/12/1998,F,rkbqrr@outlook.com,07158,0.0,False,True,False,C1,True,True,Sí,10.0,7.25,6.61,,6.49,Alcúdia
XT114197,211568,PreZëncial,07494,+34 867756302,29/04/1985,M,uppqpy@gmail.com,07805,0.0,False,True,False,C1,True,True,Sí,4.26,8.35,4.93,4.11,6.94,Sant Llorenç des Cardassar
HT848049,9059992,Certificat digital,07200,+34 303011184,13/09/1994,F,zutfglimoa@example.com,07404,0.0,False,True,False,B1,True,True,Sí,7.54,10.0,7.6,1.98,9.97,Sant Josep de sa Talaia
09705837K,7558723,PreZëncial,07805,+34 173423193,30/01/2004,F,tluruarmc@gmail.com,07991,0.0,False,True,False,C1,True,True,No,0.9,8.06,7.82,5.98,2.53,Ibiza
UH318665,6312181,PreZëncial,07603,+34 298042675,05/12/1992,M,ktmanx@example.com,07740,0.0,False,True,False,B2,True,True,Sí,5.97,5.24,6.71,4.31,7.42,Son Servera
63190223T,9083420,Correu electrònic,07905,+34 843188371,16/03/1995,M,qduivgp@gmail.com,07038,0.0,False,True,False,C2,True,True,No,10.0,8.64,NP,5.9,2.99,Sant Joan de Labritja
78365109S,3468279,Certificat digital,07657,+34 070410596,13/02/1988,F,opzcut@example.com,07595,0.0,False,True,False,B1,True,False,Sí,NP,10.0,5.66,,1.32,Ses Salines
EZ009275,3059395,PreZëncial,07121,+34 965233467,08/12/1992,M,kogey@hotmail.com,07915,0.0,False,True,False,B1,True,True,Sí,10.0,7.23,7.0,5.18,8.25,Alcúdia
WR795110,2707638,PreZëncial,07544,+34 373392526,27/12/1990,F,ewhawybob@yahoo.com,07792,0.0,False,True,False,B2,True,True,Sí,1.28,5.05,NP,10.0,4.34,Lloseta
23729544F,2509982,PreZëncial,07657,+34 290895950,05/11/1991,F,ccdux@hotmail.com,07905,0.0,False,True,False,B1,True,True,No,9.64,7.4,6.89,7.33,7.24,Ses Salines
09585404Q,4633010,PreZëncial,07747,+34 807299491,05/10/1992,M,gvsnnjxs@yahoo.com,07818,0.0,False,True,False,B1,True,True,Sí,0.47,5.88,NP,3.15,0.0,Inca
35407178N,7298370,Certificat digital,07915,+34 034514200,09/12/1976,F,yjzxcr@example.com,07657,0.0,False,True,False,B1,True,True,Sí,NP,6.83,6.91,3.0,10.0,Capdepera
82909191X,1504876,PreZëncial,07740,+34 357202625,13/10/1982,M,otuvik@yahoo.com,07805,0.0,False,True,False,A2,True,False,Sí,2.0,9.06,7.44,0.0,10.0,Ciutadella de Menorca
GW883972,1958034,PreZëncial,07612,+34 458954358,30/04/1990,F,uhwojnb@gmail.com,07494,0.0,False,True,False,B2,True,True,Si,9.31,8.66,7.55,,6.76,Alaior
11884675T,6095376,PreZëncial,07544,+34 473111053,06/09/1988,M,qxrcjuob@hotmail.com,07500,0.0,False,True,False,B2,True,True,Sí,NP,9.99,7.21,4.29,7.01,Lloseta
88331076J,7663108,PreZëncial,07818,+34 296642864,26/02/1979,F,xskzqat@gmail.com,07158,0.0,False,True,False,C2,True,True,Sí,10.0,6.58,NP,7.45,NP,Sóller
GF272944,3898041,PreZëncial,07126,+34 656694349,23/12/1976,F,zxiqxuups@hotmail.com,07612,0.0,False,True,False,B1,True,False,Sí,10.0,6.19,6.64,2.57,6.3,Santa Eulalia del Río (Santa Eulària des Riu)
20440860R,9156600,PreZëncial,07595,+34 222604594,27/02/1993,F,yqveiqyl@example.com,07158,0.0,False,True,False,B2,True,True,No,9.34,6.93,NP,10.0,4.92,Llucmajor
JR941689,7536904,Certificat digital,07915,+34 695873231,20/06/1998,M,boocuwyaty@example.com,07950,0.0,False,True,False,B2,True,True,Sí,,5.93,6.21,,1.14,Capdepera
18390309S,1000067,Certificat digital,07516,+34 715869901,14/03/1985,F,arhthak@outlook.com,07404,0.0,False,True,False,B1,True,True,Sí,7.34,8.27,7.6,8.7,NP,Santanyí
69362693Y,5085280,PreZëncial,07404,+34 052892516,08/10/2001,F,uyowkoyqr@outlook.com,07905,0.0,False,True,False,C1,True,False,Sí,8.76,5.89,,3.51,7.04,Sant Antoni de Portmany
YV821622,5208552,PreZëncial,07121,+34 732911045,22/08/2003,M,dbyeozwnzu@yahoo.com,07126,0.0,False,True,False,A2,True,True,Sí,6.45,7.45,7.95,0.0,8.55,Alcúdia
80474967Z,54880,Correu electrònic,07603,+34 105478978,25/10/1978,M,sxfrma@yahoo.com,07516,0.0,False,False,False,B1,True,True,Sí,10.0,7.48,8.33,5.16,5.49,Son Servera
YL509250,232685,Certificat digital,07603,+34 760405873,05/04/1988,F,oshhoom@example.com,07126,0.0,False,True,False,B2,True,True,Sí,4.61,,7.51,NP,3.83,Son Servera
81404903Z,598743,Certificat digital,07991,+34 032233475,03/12/1991,F,kjvptho@yahoo.com,07740,0.0,False,True,False,A2,True,False,No,10.0,7.92,6.72,10.0,1.97,Petra
28032953R,4185918,PreZëncial,07905,+34 252708857,23/06/1998,F,afnaknifxa@gmail.com,07126,0.0,False,True,False,B1,True,True,Si,9.81,8.87,6.96,8.42,7.74,Sant Joan de Labritja
OS242269,5062917,Certificat digital,07950,+34 604200341,16/04/2002,M,mzronxzdit@yahoo.com,07494,0.0,False,True,False,C1,True,True,Sí,3.01,10.0,7.92,9.27,7.86,Búger
AS916876,6848979,PreZëncial,07158,+34 854576185,20/12/1985,F,oscorwy@yahoo.com,07915,0.0,False,True,False,B2,False,True,Sí,0.11,10.0,6.92,8.17,4.52,Artà
AN676065,5675047,PreZëncial,07747,+34 023298007,20/09/1984,F,kedwpwzv@gmail.com,07905,0.0,False,True,False,B1,True,True,Sí,10.0,,6.58,3.9,6.39,Inca
70543181L,2520802,PreZëncial,07431,+34 176969488,26/03/2001,N,lahgwyzozi@hotmail.com,07222,0.0,False,True,False,C2,True,True,Sí,10.0,8.54,5.59,3.2,NP,Palma de Mallorca
29564344Y,8743626,Correu electrònic,07038,+34 642706377,28/11/1990,M,mquoi@outlook.com,07121,0.0,False,True,False,B2,True,True,Sí,,,7.13,7.8,3.99,Consell
44382411R,4391595,Certificat digital,07915,+34 050680675,19/08/1995,F,tgvpwdtk@gmail.com,07500,0.0,False,True,False,C2,True,True,No,NP,8.75,6.99,6.29,7.28,Capdepera
56069351C,4979210,PreZëncial,07038,+34 621930617,20/12/2002,F,bxrtzomaow@example.com,07126,0.0,False,True,False,C1,True,True,Sí,4.67,10.0,5.82,NP,2.92,Consell
VU989469,9338653,Correu electrònic,07494,+34 843546863,16/04/1987,F,cpdltu@gmail.com,07737,0.0,False,True,False,C1,True,True,Sí,NP,9.32,5.79,7.35,NP,Sant Llorenç des Cardassar
11801104B,7996845,PreZëncial,07603,+34 866560979,12/02/1993,M,pmllirzxua@example.com,07657,0.0,False,True,False,C2,True,True,Sí,10.0,7.72,6.36,6.59,4.37,Son Servera
LF228059,7913884,Correu electrònic,07544,+34 668036475,23/07/1999,F,vvrlzspcmb@hotmail.com,07737,0.0,False,True,False,C2,True,True,Sí,10.0,NP,,4.57,10.0,Lloseta
90691504C,8180265,PreZëncial,07737,+34 419816429,09/10/1976,M,nfxrbmccot@yahoo.com,07657,0.0,False,True,False,C1,True,True,Sí,10.0,6.61,6.63,4.71,10.0,Mahón (Maó)
01278986W,7412680,PreZëncial,07404,+34 407788638,02/07/1983,F,jephkvgyz@outlook.com,07038,0.0,False,True,False,B2,True,True,Si,10.0,7.09,5.6,1.54,10.0,Sant Antoni de Portmany
38053980C,4860067,PreZëncial,07991,+34 069013651,07/02/1986,M,efwlxs@yahoo.com,07603,0.0,False,True,False,C2,True,True,Sí,,8.53,7.53,4.02,0.0,Petra
YU425780,3360964,PreZëncial,07360,+34 020012120,04/08/1980,M,xhauvosn@gmail.com,07158,0.0,False,True,False,B2,True,True,No,10.0,7.45,7.0,2.65,4.79,Marratxí
24535582X,8721610,PreZëncial,07805,+34 761239690,13/05/1986,M,wavmeea@example.com,07747,13.0,False,True,False,A2,True,True,Sí,5.78,NP,7.81,NP,5.55,Ibiza
67608237J,8736910,PreZëncial,07360,+34 706602952,30/07/1989,M,bzqdhvy@hotmail.com,07603,0.0,False,True,False,B1,True,True,No,10.0,6.4,7.58,NP,NP,Marratxí
36356472G,6752261,PreZëncial,07544,+34 108235117,18/09/1997,F,bknsvvbtgb@gmail.com,07126,0.0,False,True,False,C1,True,True,Sí,10.0,5.6,6.26,4.52,10.0,Lloseta
87562977E,6967663,PreZëncial,07915,+34 429735263,23/09/1983,F,vzhedpqcz@gmail.com,07595,0.0,False,True,False,B2,True,True,Sí,9.82,8.16,,,2.59,Capdepera
44851044D,6206161,PreZëncial,07516,+34 754085432,03/10/1982,M,freqofhb@hotmail.com,07740,0.0,False,True,False,A2,True,True,No,4.17,9.47,5.14,0.52,NP,Santanyí
UJ064772,8447740,Correu electrònic,07200,+34 508728252,20/11/1993,M,stibe@gmail.com,07950,0.0,False,True,False,B1,True,True,Sí,9.64,5.2,7.78,5.81,4.27,Sant Josep de sa Talaia
63159414B,2567087,Certificat digital,07612,+34 965103179,15/11/1987,M,gelicafqm@gmail.com,07747,0.0,False,True,False,C2,True,False,No,10.0,8.39,7.91,3.45,7.95,Alaior
72364547S,4782565,PreZëncial,07905,+34 051539737,08/02/1997,F,wwyvlxj@outlook.com,07494,0.0,False,True,False,A2,True,False,Sí,NP,9.95,,NP,9.22,Sant Joan de Labritja
57732218X,8506537,PreZëncial,07950,+34 200041029,17/11/2004,M,ioqjr@gmail.com,07612,0.0,False,True,False,B2,True,True,Sí,3.27,9.71,7.43,1.38,0.33,Búger
EF886076,7107823,Certificat digital,07915,+34 201468668,02/10/1987,M,dhajw@gmail.com,07657,10.0,False,True,False,A2,True,False,Si,0.0,,7.38,6.5,4.03,Capdepera
XR675750,1016128,PreZëncial,07595,+34 125355470,13/04/1999,F,rlouy@example.com,07991,0.0,False,True,False,A1,True,True,Sí,1.08,6.55,6.34,0.0,7.85,Llucmajor
24875089Z,2110469,Correu electrònic,07544,+34 560486531,28/08/1992,F,jtyknzwebv@hotmail.com,07404,11.0,False,True,False,B1,True,True,Sí,2.22,10.0,6.46,6.55,3.43,Lloseta
24651916X,2181559,PreZëncial,07544,+34 427813909,07/08/1985,M,bzfiuz@yahoo.com,07200,0.0,False,True,False,C2,True,False,Sí,7.83,9.04,8.92,NP,7.86,Lloseta
88751637L,6155879,Certificat digital,07905,+34 710744248,14/10/1978,M,kauregri@gmail.com,07500,0.0,False,True,False,B2,True,True,No,10.0,8.92,6.63,5.91,3.61,Sant Joan de Labritja
62643231V,6022785,PreZëncial,07222,+34 809479789,14/08/1985,M,bkgdmn@yahoo.com,07500,0.0,False,True,False,B2,True,True,Sí,1.67,5.82,9.21,6.12,NP,Pollença
UP411033,1883146,PreZëncial,07404,+34 975398406,06/12/2001,F,mfbosbhj@hotmail.com,07991,0.0,False,True,False,C1,False,True,Sí,NP,NP,8.9,6.08,4.54,Sant Antoni de Portmany
